,Time,Receiving team,Score,Guest team,Week,Date
54,18:15,JSS Jeunesse Sportive Soualem,0 : 0,Renaissance de Berkane,Week # 7,Wednesday 27 October 2021
55,18:19,FAR Rabat,0 : 1,Wydad Athletic Club,Week # 7,Thursday 28 October 2021
56,18:15,Chabab Mohammedia,2 : 0,Hassania Union Sport Agadir,Week # 8,Friday 29 October 2021
57,20:33,Youssoufia Berrechid,0 : 0,Olympique Club de Safi,Week # 8,Friday 29 October 2021
58,16:01,Fath Union Sport de Rabat,1 : 2,Olympique Club De Khouribga,Week # 8,Saturday 30 October 2021
59,18:17,Difaa Hassani El Jadidi,0 : 2,Raja Club Athletic,Week # 8,Saturday 30 October 2021
60,20:32,Mouloudia Oujda,2 : 4,JSS Jeunesse Sportive Soualem,Week # 8,Saturday 30 October 2021
61,16:01,Renaissance de Berkane,4 : 1,Ittihad Tanger,Week # 8,Sunday 31 October 2021
62,18:20,Wydad Athletic Club,1 : 0,Maghreb de Fes,Week # 8,Sunday 31 October 2021
63,20:31,Rapide Oued Zem,0 : 3,FAR Rabat,Week # 8,Sunday 31 October 2021
